id,character,season,rank,word,count,uniqueness_score
471,Howard,8.0,1,mother,20,8.333333333333334
472,Howard,8.0,2,one,33,5.364532019704433
473,Howard,8.0,3,hammer,5,5.0
474,Howard,8.0,4,bernie,5,5.0
475,Howard,8.0,5,know,43,4.815104166666667
476,Howard,8.0,6,right,30,4.368932038834951
477,Howard,8.0,7,raj,13,4.121951219512195
478,Howard,8.0,8,mom,12,4.0
479,Howard,8.0,9,pitch,6,4.0
480,Howard,8.0,10,cinnamon,6,4.0
481,Bernadette,8.0,1,howie,17,16.055555555555554
482,Bernadette,8.0,2,maybe,17,3.141304347826087
483,Bernadette,8.0,3,drug,3,3.0
484,Bernadette,8.0,4,inside,4,2.6666666666666665
485,Bernadette,8.0,5,cleaning,4,2.6666666666666665
486,Bernadette,8.0,6,raj,10,2.4390243902439024
487,Bernadette,8.0,7,want,21,2.345744680851064
488,Bernadette,8.0,8,cause,10,2.127659574468085
489,Bernadette,8.0,9,pushing,2,2.0
490,Bernadette,8.0,10,mound,2,2.0
491,Leonard,8.0,1,know,69,12.3984375
492,Leonard,8.0,2,sheldon,36,9.529411764705882
493,Leonard,8.0,3,think,42,8.776119402985074
494,Leonard,8.0,4,really,34,8.083916083916083
495,Leonard,8.0,5,let,28,5.9393939393939394
496,Leonard,8.0,6,right,34,5.611650485436893
497,Leonard,8.0,7,thank,19,5.5538461538461545
498,Leonard,8.0,8,idea,15,5.48780487804878
499,Leonard,8.0,9,mean,21,5.444444444444444
500,Leonard,8.0,10,one,33,5.364532019704433
501,Raj,8.0,1,dude,12,12.0
502,Raj,8.0,2,guys,28,9.924050632911392
503,Raj,8.0,3,know,57,8.4609375
504,Raj,8.0,4,mummy,6,6.0
505,Raj,8.0,5,ooh,13,4.970588235294118
506,Raj,8.0,6,daddy,5,4.166666666666667
507,Raj,8.0,7,nathan,4,4.0
508,Raj,8.0,8,fillion,4,4.0
509,Raj,8.0,9,roger,6,3.5999999999999996
510,Raj,8.0,10,little,17,3.10752688172043
511,Sheldon,9.0,1,knock,72,68.21052631578947
512,Sheldon,9.0,2,amy,65,37.389380530973455
513,Sheldon,9.0,3,leonard,55,28.80952380952381
514,Sheldon,9.0,4,know,111,28.389400921658986
515,Sheldon,9.0,5,one,59,22.314102564102562
516,Sheldon,9.0,6,right,61,18.15121951219512
517,Sheldon,9.0,7,see,48,17.86046511627907
518,Sheldon,9.0,8,hello,24,16.941176470588236
